"product id","product title","product urls"
731668,Panasonic 7 kg Fully Automatic Top Load Silver(NA-F70LF2MRB),"[['https://www.amazon.in/Panasonic-Fully-Automatic-Loading-Washing-NA-F70LF2MRB/dp/B09YD9QDXX'], ['https://www.croma.com/panasonic-7-kg-5-star-fully-automatic-top-load-washing-machine-na-f70c1mrb-lint-filter-middle-free-silver-/p/243207?utm_source=google&utm_medium=ps&utm_campaign=sok_search_dsa_acq-washing_machines_august&gbraid=%7Bgbraid%7D']]"
731669,"realme TechLife 7 kg with Semi Automatic Top Load White, Black(RMSA705NNNDW)","[['https://www.flipkart.com/realme-techlife-7-kg-semi-automatic-top-load-white-black/p/itmc94e124668ec6'], ['https://www.amazon.in/realme-washing-machine/s?k=realme+washing+machine']]"
731670,SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey(WA70BG4441YYTL),"[['https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA70BG4441YYTL-Technology/dp/B0B8NHX62W'], ['https://www.croma.com/samsung-7-kg-5-star-inverter-fully-automatic-top-load-washing-machine-wa70bg4441yytl-diamond-drum-lavender-grey-/p/265847'], ['https://www.flipkart.com/samsung-7-kg-inverter-5-star-eco-bubble-technology-washing-machine-fully-automatic-top-load-grey/p/itmfad620b791ea9'], ['https://www.reliancedigital.in/samsung-7-kg-top-load-fully-automatic-washing-machine-wa70bg4441yytl-lavender-gray/p/493627304']]"
731671,"Panasonic 8 kg 5 star Semi Automatic Top Load White, Grey(NA-W80E5HRB)","[['https://www.amazon.in/Panasonic-Semi-Automatic-Loading-NA-W80E5HRB-Powerful/dp/B089WZK2RW'], ['https://www.flipkart.com/panasonic-8-kg-5-star-semi-automatic-top-load-white-grey/p/itm8223298943eb5']]"
731672,Panasonic 6.5 kg Fully Automatic Top Load Silver(NA-F65LF2MRB),"[['https://www.flipkart.com/panasonic-6-5-kg-fully-automatic-top-load-silver/p/itmb27a85d749e11'], ['https://www.amazon.in/Panasonic-Fully-Automatic-Loading-Washing-NA-F65LF2MRB/dp/B09YD879Y4']]"
731673,"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White(DIVA AQUA VSS 6008)",[['https://www.flipkart.com/ifb-6-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-in-built-heater-white/p/itm3bf21ef8dc5e7']]
731674,"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White(Diva Aqua VSS 7010)",[['https://www.flipkart.com/ifb-7-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-in-built-heater-white/p/itmae1b351a1f461']]
731675,LG 7.5 kg 5 star Semi Automatic Top Load Purple(P7525SPAZ),"[['https://www.amazon.in/LG-Semi-Automatic-Loading-P7525SPAZ-Pulsator/dp/B09FLBJDNZ'], ['https://www.flipkart.com/lg-7-5-kg-5-star-semi-automatic-top-load-purple/p/itm2516b7b8d95e8'], ['https://www.reliancedigital.in/lg-7-5-kg-top-load-semi-automatic-washing-machine-p7525spaz/p/492664435']]"
731676,"SAMSUNG 6.5 kg Semi Automatic Top Load Blue, Grey(WT65R2200LL/TL)","[['https://www.amazon.in/Samsung-Semi-Automatic-Loading-WT65R2200LL-TL/dp/B09T6NX8W2'], ['https://www.samsung.com/in/washers-and-dryers/washing-machines/wt2500rm-twin-5-star-energy-rating-air-turbo-drying-system-rat-protection-6-5kg-blue-wt65r2200ll-tl/'], ['https://www.flipkart.com/samsung-6-5-kg-semi-automatic-top-load-blue-grey/p/itm0a721af2722c5'], ['https://www.reliancedigital.in/samsung-6-5-kg-top-load-semi-automatic-washing-machine-wt65r2200ll-tl/p/492864884'], ['https://www.croma.com/samsung-6-5-kg-5-star-semi-automatic-washing-machine-with-double-strong-pulsator-wt65r2200ll-tl-light-gray-blue-base-/p/259281']]"
731677,Panasonic 6.7 kg Fully Automatic Top Load with In-built Heater Grey(NA-F67BH8MRB / NA-F67BH8),[]
